ingredient,capability,baseline_metric,leave_one_out_metric,degradation,significant,direction,basis_variant
GLS-whitening,drift recovery,0.19466022130260874,0.3572367237700973,0.16257650246748856,True,lower,NEC_LOO_GLS_WHITENING
GLS-whitening,tensor recovery,0.04496001039329484,0.037836685210500584,-0.007123325182794259,False,lower,NEC_LOO_GLS_WHITENING
GLS-whitening,PSD rate,1.0,1.0,0.0,False,higher,NEC_LOO_GLS_WHITENING
GLS-whitening,conditioning,0.19466022130260874,0.3572367237700973,0.08128825123374428,True,lower,NEC_LOO_GLS_WHITENING
GLS-whitening,sample efficiency,0.951116644734058,0.9228012871130792,0.02831535762097881,True,higher,NEC_LOO_GLS_WHITENING
local-poly (order 2),drift recovery,0.19466022130260874,0.28248935393877267,0.08782913263616393,True,lower,NEC_LOO_LOCAL_POLY
local-poly (order 2),tensor recovery,0.04496001039329484,0.03570192648013523,-0.00925808391315961,False,lower,NEC_LOO_LOCAL_POLY
local-poly (order 2),PSD rate,1.0,1.0,0.0,False,higher,NEC_LOO_LOCAL_POLY
local-poly (order 2),conditioning,0.19466022130260874,0.28248935393877267,0.043914566318081966,True,lower,NEC_LOO_LOCAL_POLY
local-poly (order 2),sample efficiency,0.951116644734058,0.930036537432357,0.021080107301700957,True,higher,NEC_LOO_LOCAL_POLY
Cholesky-PSD,drift recovery,0.19466022130260874,0.19466022130260885,1.1102230246251565e-16,False,lower,NEC_LOO_CHOLESKY_PSD
Cholesky-PSD,tensor recovery,0.04496001039329484,0.04065040229121003,-0.004309608102084812,False,lower,NEC_LOO_CHOLESKY_PSD
Cholesky-PSD,PSD rate,1.0,1.0,0.0,False,higher,NEC_LOO_CHOLESKY_PSD
Cholesky-PSD,conditioning,0.19466022130260874,0.19466022130260885,5.551115123125783e-17,False,lower,NEC_LOO_CHOLESKY_PSD
Cholesky-PSD,sample efficiency,0.951116644734058,0.9525745194933772,-0.0014578747593192443,False,higher,NEC_LOO_CHOLESKY_PSD
adaptive-LASSO,drift recovery,0.19466022130260874,0.19270325411731998,-0.0019569671852887605,False,lower,NEC_LOO_ADAPTIVE_LASSO
adaptive-LASSO,tensor recovery,0.04496001039329484,0.04368467835433637,-0.0012753320389584724,False,lower,NEC_LOO_ADAPTIVE_LASSO
adaptive-LASSO,PSD rate,1.0,1.0,0.0,False,higher,NEC_LOO_ADAPTIVE_LASSO
adaptive-LASSO,conditioning,0.19466022130260874,0.19270325411731998,-0.0009784835926443802,False,lower,NEC_LOO_ADAPTIVE_LASSO
adaptive-LASSO,sample efficiency,0.951116644734058,0.9526992488024801,-0.0015826040684221443,False,higher,NEC_LOO_ADAPTIVE_LASSO
anisotropic (cov) bandwidth,drift recovery,0.19466022130260874,0.1938027137923598,-0.0008575075102489338,False,lower,NEC_LOO_ANISOTROPIC_COV
anisotropic (cov) bandwidth,tensor recovery,0.04496001039329484,0.04312467731654848,-0.0018353330767463608,False,lower,NEC_LOO_ANISOTROPIC_COV
anisotropic (cov) bandwidth,PSD rate,1.0,1.0,0.0,False,higher,NEC_LOO_ANISOTROPIC_COV
anisotropic (cov) bandwidth,conditioning,0.19466022130260874,0.1938027137923598,-0.0004287537551244669,False,lower,NEC_LOO_ANISOTROPIC_COV
anisotropic (cov) bandwidth,sample efficiency,0.951116644734058,0.9514920743253289,-0.0003754295912709038,False,higher,NEC_LOO_ANISOTROPIC_COV
multi-trajectory pooling,drift recovery,0.19466022130260874,1.2355826524313311,1.0409224311287224,True,lower,NEC_LOO_MULTI_TRAJECTORY
multi-trajectory pooling,tensor recovery,0.04496001039329484,0.11564592719093544,0.07068591679764061,True,lower,NEC_LOO_MULTI_TRAJECTORY
multi-trajectory pooling,PSD rate,1.0,1.0,0.0,False,higher,NEC_LOO_MULTI_TRAJECTORY
multi-trajectory pooling,conditioning,0.19466022130260874,1.2355826524313311,0.5204612155643612,True,lower,NEC_LOO_MULTI_TRAJECTORY
multi-trajectory pooling,sample efficiency,0.951116644734058,0.72708495002908,0.22403169470497797,True,higher,NEC_LOO_MULTI_TRAJECTORY
