source_artifact,tag,experiment,system,rho_true,seed,run,dt,R,n_steps_per_trajectory,diffusion_rel_l2,a12_rel_l2,b1_rel_l2,b2_rel_l2,rho_tensor_mean,rho_tensor_median,rho_tensor_iqr,rho_tensor_psd_median,rho_parametric_hat,kappa_hat,theta_hat,xi_hat,rho_tensor_abs_error,rho_sign_correct,n_rho_points
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1020,0,0.003968253968253968,4,3000,0.058366203794157384,0.017476784421299057,1.0,0.7388551956346143,-0.20589511317694417,-0.2103765350071134,0.0057386131228052695,-0.21037653500711342,-0.2046137108708893,1.7095369175007613,0.035655792157434314,0.2942713630228966,0.010376535007113386,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1057,1,0.003968253968253968,4,3000,0.03228532681350082,0.2837841689738838,11.374523699591226,1.0,-0.22991097842928201,-0.20582932755934488,0.07818945851768797,-0.20557228195841407,-0.05332083215934935,-0.0,,0.2892997316712351,0.005829327559344871,True,287
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1094,2,0.003968253968253968,4,3000,0.01742095681046764,0.049994598010984256,1.0,0.8097227753466077,-0.20057509086344766,-0.1934987658425191,0.01942906868595537,-0.19349876584251913,-0.14212979180473428,-0.12343157993326759,-0.027350955403275517,0.2969780275365695,0.006501234157480912,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1131,3,0.003968253968253968,4,3000,0.05000709731656918,0.046242637483296586,1.0,0.06532212504432336,-0.2169779304136207,-0.19830181781717088,0.023484030624901314,-0.19830181781717093,-0.12489404901092838,2.0514793102037157,0.03825730836171873,0.3328627769962734,0.0016981821828291332,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1168,4,0.003968253968253968,4,3000,0.2257887489646541,1.096678801777018,1.0,2.7775761434357675,-0.27044134316191304,-0.25087926337376254,0.21263992622857825,-0.24831337375054244,-0.3203199094741138,1.758463541073823,0.037919928272321726,0.28355390328136465,0.05087926337376253,True,273
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1205,5,0.003968253968253968,4,3000,0.03065849488290105,0.165735095482054,1.0,0.39129867599263224,-0.20394489165169272,-0.21528124435830612,0.006044267026595135,-0.21528124435830612,-0.2552361920085627,2.4153579302429065,0.03281114244434098,0.2250343512385407,0.015281244358306106,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1242,6,0.003968253968253968,4,3000,0.05885539301461434,0.6970038070794293,1.0,3.1047961822017274,-0.2866673908778655,-0.25911636900478346,0.12766346022427852,-0.25911636900478346,-0.07106771741447167,-1.4347209922850972,-0.01593294669911463,0.2925697585972498,0.05911636900478345,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1279,7,0.003968253968253968,4,3000,0.10274592968920208,1.0,1.0,2.809056545805317,0.0,0.0,0.0,0.0,0.0,1.0785123851395944,-0.03689662620970755,0.3176849225384682,0.2,False,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1316,8,0.003968253968253968,4,3000,0.09104920346370454,0.11417665814424287,1.0,0.14182965043498472,-0.20477522374737173,-0.21125410315951323,0.03188178262643421,-0.21125410315951323,-0.21611140717174324,2.170876902746853,0.037197963262889024,0.2880296556793409,0.011254103159513223,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1353,9,0.003968253968253968,4,3000,0.060816107557279765,0.2219718168627063,20.477393149925753,1.0,-0.20923693681372527,-0.21064070294678422,0.06200862798084944,-0.21064070294678422,-0.2448554743800688,-0.0,,0.2922629361018671,0.010640702946784208,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1390,10,0.003968253968253968,4,3000,0.12188722489034529,0.16030940039556132,1.0,0.5990034625350015,-0.20836412288764486,-0.21485715272322092,0.02851172164510321,-0.21498547814553226,-0.1933705115165781,1.6064043004697612,0.04028056267743912,0.29569308081131157,0.014857152723220912,True,286
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1427,11,0.003968253968253968,4,3000,0.0822566507596526,0.6240486215878432,1.0,0.6725910091195855,-0.2970373077804993,-0.2289368819337569,0.1308307851519921,-0.22893688193375694,0.0011914565804713195,4.45575709708591,0.028897592245567996,0.27635808948320695,0.028936881933756903,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1464,12,0.003968253968253968,4,3000,0.024563457907154463,0.13553200572393967,1.0,0.8186130860168761,-0.190716675368884,-0.21009307389796075,0.02500714134499779,-0.21009307389796075,-0.21043793977022157,-1.4684916495648694,-0.036032312987058515,0.30527322705628884,0.010093073897960742,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1501,13,0.003968253968253968,4,3000,0.13920277021075042,0.5674278029217346,1.0,1.0,-0.15457939496879186,-0.16132221281756698,0.1689624890631303,-0.18105523073835827,-0.4838186798652725,-0.0,,0.2056666931712074,0.03867778718243303,True,260
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1538,14,0.003968253968253968,4,3000,0.01644794874619708,0.1802679150567088,4.789159060325388,1.0,-0.21149669347767178,-0.20179812770491468,0.0480135488625798,-0.20179812770491468,-0.190028451748924,-0.0,,0.28930445347096223,0.001798127704914665,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1575,15,0.003968253968253968,4,3000,0.022679839040207938,0.15432789072791797,1.0,0.721710501216156,-0.19896334591028947,-0.2125733097200527,0.04167175560216366,-0.21257330972005273,-0.24156365238522337,1.6101940107826154,0.04156572074305597,0.2872892052813619,0.012573309720052689,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1612,16,0.003968253968253968,4,3000,0.035930902028698274,0.12695935574986497,1.0,0.7182619796371753,-0.19093739808143462,-0.18005447055102625,0.013273426921928011,-0.18005447055102625,-0.16286005620777794,1.1157989768301961,0.04856138183205766,0.30130304673127684,0.019945529448973764,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1649,17,0.003968253968253968,4,3000,0.13901546713832752,0.6601906127543872,1.0,3.1416693451698823,-0.2042479565508681,-0.0993059507506092,0.11670551906354909,-0.10154791615936727,0.0,-0.6314143352366517,-0.03053604173076776,0.29543555477980943,0.10069404924939081,True,281
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1686,18,0.003968253968253968,4,3000,0.3455621090865565,1.950768528477427,1.0,3.345644445521424,-0.20012506771079203,-0.25718292799222353,0.34796938080199064,-0.2509774690912035,0.19225838900255826,4.608613102482126,0.03764485134557355,0.30307531653922765,0.05718292799222352,True,286
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1723,19,0.003968253968253968,4,3000,0.09611936336234926,0.5036052670493055,1.0,0.5918699706570235,-0.23990270946633008,-0.21937210064093313,0.11184339756134334,-0.21937210064093315,0.12140453371725451,3.0173917623406736,0.03648111394837873,0.2902218241305326,0.019372100640933115,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1760,20,0.003968253968253968,4,3000,0.013696503078635007,0.1452195486744924,1.0,0.11505800581364317,-0.20918462865820261,-0.18079003974596844,0.06003876419670545,-0.18079003974596844,-0.010505667009463383,1.2064791386633396,0.04575538786213865,0.28922503470611194,0.01920996025403157,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1797,21,0.003968253968253968,4,3000,0.10013600828846503,0.1365790013730363,1.0,0.6251416270862882,-0.18718945004727344,-0.18428167675425045,0.015252757421153756,-0.18432677653773183,-0.18039882592925172,1.6857747641466208,0.03865187912769228,0.28720392400193157,0.015718323245749566,True,284
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1834,22,0.003968253968253968,4,3000,0.22434520566732966,0.11322598224761637,9.378033474915593,1.19107584205527,-0.16406861611246862,-0.1745312118928837,0.02210528928732805,-0.17401758916622287,-0.24630107779609647,2.9811288337658537,0.029807443816350792,0.3188888202707966,0.025468788107116308,True,281
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1871,23,0.003968253968253968,4,3000,0.10237535717298561,0.27049039948187004,1.0,1.0,-0.21167253912759237,-0.1870253677757016,0.06411641748543553,-0.1904548923799294,-0.11271118042887504,-0.0,,0.2966576834900904,0.012974632224298399,True,282
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1908,24,0.003968253968253968,4,3000,0.21986959536006997,1.0,19.789255634961265,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,,0.35442165151180616,0.2,False,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1945,25,0.003968253968253968,4,3000,0.03474773177967025,0.11666162092809554,1.0,0.2789844243300442,-0.2015013999695912,-0.22455503506367472,0.011481209997334707,-0.22455503506367472,-0.2879098304078782,2.120983027489211,0.04028623685751,0.24164994835338727,0.024555035063674707,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,1982,26,0.003968253968253968,4,3000,0.04366340491564387,0.4425022563625643,5.469441135438454,1.0707295328822286,-0.20474756271221745,-0.15330821580479082,0.13766806176669288,-0.1533082158047908,0.06108356192346037,1.1849274519810908,0.08309504538053486,0.29191626999130493,0.046691784195209196,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,2019,27,0.003968253968253968,4,3000,0.05901344222845501,0.19230227561261715,6.049683841596999,0.2578301407286693,-0.22944484452130043,-0.20465659156704835,0.05329913981454967,-0.20465659156704838,0.01647679017666151,2.301326365980819,0.03566963980892112,0.2927867116324417,0.00465659156704834,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,2056,28,0.003968253968253968,4,3000,0.06587921913003605,0.051707826246186674,1.0,1.0,-0.20255132184773902,-0.19539766974436232,0.017435344880287695,-0.19556099175054176,-0.1497916851346504,-0.0,,0.29644466109581885,0.004602330255637693,True,285
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.2,2093,29,0.003968253968253968,4,3000,0.010279471252728498,0.08198965104197746,1.0,3.3787492574792735,-0.2228803335231585,-0.21372642570551753,0.008446460936935879,-0.21372642570551753,-0.20791877053674773,-1.9712449765391993,-0.018317362515099793,0.30987334810357875,0.01372642570551752,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1050,0,0.003968253968253968,4,3000,0.005056035578963592,0.021538344886024605,1.0,1.0,-0.5149643426335073,-0.515711260856356,0.0011254220659704384,-0.5157112608563561,-0.5165271941393711,-0.0,,0.29388066488059345,0.01571126085635599,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1087,1,0.003968253968253968,4,3000,0.11008830835686102,0.15384837952955902,1.0,2.1458268067040343,-0.5588881597411686,-0.5081187561228808,0.048426321568807995,-0.5081187561228808,-0.31651764901760043,2.867284949565176,0.04766985330277079,0.31248223627925803,0.008118756122880821,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1124,2,0.003968253968253968,4,3000,0.8604950855624093,0.877859274372573,1.0,1.0,-0.5025394810930017,-0.5292437921001623,0.21339098272838064,-0.5329999309234379,-0.4484015640107432,-0.0,,0.35097563775414525,0.029243792100162258,True,274
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1161,3,0.003968253968253968,4,3000,0.21410603673815345,0.32268982235684734,1.0,2.737194342449506,-0.5474843409178972,-0.5136927065170801,0.10592174654517583,-0.5090083553674783,-0.43577535603689965,3.12473079477665,0.03993675071438376,0.3180489548996504,0.0136927065170801,True,278
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1198,4,0.003968253968253968,4,3000,0.006080314684511755,0.017426166195382915,12.187874263728778,1.0859649668868596,-0.510287186464854,-0.5019782437500153,0.010619588724687545,-0.5019782437500153,-0.49407321460561554,0.2962604357764307,0.2576046232324288,0.30171185050183136,0.0019782437500153183,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1235,5,0.003968253968253968,4,3000,0.41362247046822503,0.23358567849562414,1.0,0.3254583380158422,-0.5090953742601094,-0.5125494439895767,0.021590589985555075,-0.5125495394803412,-0.3382538311399836,1.5733364086223345,0.02943992936034897,0.26709385601145175,0.012549443989576692,True,273
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1272,6,0.003968253968253968,4,3000,0.13744318593120616,0.22056378443960986,8.809152645217155,0.7812691135643826,-0.492468268456924,-0.507044031814539,0.09353214258636477,-0.505728933049139,-0.7590678099274829,3.8680819881981026,0.03361822630525315,0.29932562696488324,0.0070440318145390535,True,285
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1309,7,0.003968253968253968,4,3000,0.09323873267845202,0.11070320590058728,1.0,0.4305788005231889,-0.5032351456191589,-0.5065475153078132,0.004698062695240313,-0.5062977401741066,-0.5442501538082979,3.5476207864580958,0.030092235109044404,0.3207100775400802,0.006547515307813168,True,272
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1346,8,0.003968253968253968,4,3000,0.1894543811426855,0.03978534924728369,1.0,0.7249455870127336,-0.4662302328287819,-0.4738831031458911,0.04568725415509717,-0.47414931001493976,-0.4906119423018182,0.17306307882193628,0.3787171688222067,0.29551581999839915,0.026116896854108895,True,285
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1383,9,0.003968253968253968,4,3000,0.4391965657627145,0.9045277509549168,1.0,3.2428857705320224,-0.5056448342631066,-0.5539008674881805,0.3127390537308232,-0.5526201604925656,0.06901093422608989,-0.59644570723921,-0.09202430957916054,0.24533883474261883,0.05390086748818046,True,286
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1420,10,0.003968253968253968,4,3000,0.027942894102279982,0.10334095037224228,1.0,0.28931777714127627,-0.48855641339324546,-0.49320430142261407,0.03514884693473508,-0.49313094922217854,-0.4921436741124833,1.1458835515168788,0.05836166675532118,0.28966845764383314,0.0067956985773859335,True,287
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1457,11,0.003968253968253968,4,3000,0.03303527915447038,0.03451481485234286,1.0,0.17794120772048297,-0.5103341030075538,-0.5309289520600934,0.02351206320361876,-0.5309289520600933,-0.5367237966759361,0.4980471552044087,0.0768697788443054,0.29062545783433885,0.030928952060093384,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1494,12,0.003968253968253968,4,3000,0.1163280139348451,0.19882239850950115,1.0,0.37697454046114703,-0.4630693225019918,-0.4979588990059306,0.07251256877938828,-0.49804667866165475,-0.35688490496273667,2.619396746297924,0.03671525878949122,0.28100721584472765,0.0020411009940694003,True,288
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1531,13,0.003968253968253968,4,3000,0.056736202161756136,0.19553258773603846,1.0,1.1826001897570746,-0.5864591425811921,-0.489581339868166,0.12609199081045347,-0.491426639848068,-0.36714022300513954,0.5326226695755398,0.1368122692471995,0.30302216398910475,0.010418660131834012,True,285
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1568,14,0.003968253968253968,4,3000,0.03084435099280864,0.12169481017334842,1.0,0.7669708183807871,-0.46566418216153643,-0.48027105586054386,0.07546737878462867,-0.48027105586054386,-0.4599362531118024,2.191551925990847,0.030174057772946884,0.28368494861241783,0.01972894413945614,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1605,15,0.003968253968253968,4,3000,0.13090411473259042,0.08298287518880092,3.735372141168021,1.1576776939835864,-0.5144907711130168,-0.4720441373346438,0.06208607241958641,-0.47379120886065434,-0.5372045715025013,2.1717450971790386,0.03990772943789183,0.24212761583707618,0.027955862665356213,True,275
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1642,16,0.003968253968253968,4,3000,0.029485129598324052,0.08823086342272145,7.7620940421168,0.550871045824788,-0.5366868191140169,-0.4841743282270946,0.014142420530115385,-0.48417432822709466,-0.4115070125103075,0.6407412083289223,0.09076991099620281,0.3166479706863971,0.015825671772905392,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1679,17,0.003968253968253968,4,3000,0.045428521626790924,0.14284518125747867,1.0,0.508094127110503,-0.49957291990217867,-0.4800918781002835,0.10618369735244992,-0.4800918781002835,-0.5033525003319479,0.6338000742110761,0.08617577353487971,0.29720324926599173,0.019908121899716524,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1716,18,0.003968253968253968,4,3000,0.02976541253212694,0.04710458882738067,1.0,0.5048286217216289,-0.5397559864617768,-0.5011499355626383,0.038780366612801764,-0.5011499355626383,-0.37840516881507724,1.9602759820894229,0.04789073599328034,0.2926805763234678,0.0011499355626383156,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1753,19,0.003968253968253968,4,3000,0.37918326148013903,0.09317823664106516,1.0,1.0,-0.604049509308981,-0.5357499526326198,0.1783697462353433,-0.5416133267500653,-0.3748408663614218,-0.0,,0.3122586910926034,0.03574995263261982,True,283
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1790,20,0.003968253968253968,4,3000,0.06994486850132309,0.16037228727528768,1.0,0.7996826535500648,-0.5035376495569064,-0.5045167511528001,0.10141742465193038,-0.5045167511528001,-0.522202723112253,1.5029640104389588,0.043032573207342995,0.27237419455495643,0.004516751152800147,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1827,21,0.003968253968253968,4,3000,0.01605977239083623,0.040622431600159194,1.0,1.203067913241425,-0.5054048309448308,-0.48617077590484176,0.010873507311074226,-0.48617077590484165,-0.4375731905213359,1.6718719237728719,0.04807309852250979,0.23066094211373836,0.013829224095158243,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1864,22,0.003968253968253968,4,3000,0.20548431437348944,0.09082882758949593,1.0,0.9884384743391291,-0.49387742675500074,-0.47019429650836553,0.044534028771887946,-0.4706134001615522,-0.32677797344257886,-0.28916691530408256,-0.08677142077654491,0.3066965210910141,0.029805703491634472,True,285
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1901,23,0.003968253968253968,4,3000,0.13618894363458284,0.24013990951607922,1.0,1.0,-0.5456683895310306,-0.5350166818994544,0.08022169070416973,-0.5401894623380651,-0.3074245278454548,-0.0,,0.3180058278576529,0.035016681899454394,True,272
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1938,24,0.003968253968253968,4,3000,0.030669195508123533,0.020215173652278914,1.0,0.36304387210036043,-0.5026078246949498,-0.5066360755877891,0.01193357599031658,-0.5066360755877891,-0.5305758072092787,1.020512755891966,0.037824902040449714,0.2757658127587667,0.006636075587789114,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,1975,25,0.003968253968253968,4,3000,0.04931600201609299,0.005317468175358248,1.0,0.5636082124293288,-0.5087292137894911,-0.4998074593918932,0.0010881203697144515,-0.49980745939189325,-0.4785619550740523,1.8492426326296783,0.03591143831608852,0.3104458914399455,0.00019254060810680595,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,2012,26,0.003968253968253968,4,3000,0.10080668616241419,0.1894766235853765,1.0,2.9188764562031166,-0.4519008399163828,-0.4753281171505768,0.07367705034609795,-0.4753281171505768,-0.670073587079064,-0.7046764621883281,-0.06955449316017294,0.281537795528834,0.024671882849423177,True,289
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,2049,27,0.003968253968253968,4,3000,0.06603868813646005,0.29752977780165596,20.358133952457198,0.11672353303745026,-0.5321286258207139,-0.46217211468386243,0.16389338246101848,-0.4658826521521139,-0.36190632778570136,1.838756389008252,0.04245625783192927,0.2941895079600093,0.037827885316137566,True,287
results/heston_cir/lev1_synthetic_regimes.csv,leverage_regime_sweep,lev1_tensor_regimes,heston_logsv,-0.5,2086,28,0.003968253968253968,4,3000,0.06975681008669743,0.14846217253803512,1.0,2.226253923070893,-0.48762702428923116,-0.45789829696173634,0.03655441807589316,-0.45789829696173634,-0.40449879887901696,-0.2825509726774049,-0.05785480284273168,0.29198143558878253,0.04210170303826366,True,289
