system,tier,n,objective_drift_median,objective_drift_ci_low,objective_drift_ci_high,diffusion_median,diffusion_ci_low,diffusion_ci_high,a12_cosine_median,a12_cosine_ci_low,a12_cosine_ci_high,psd_valid_median,generator_action_error_median,generator_action_error_ci_low,generator_action_error_ci_high,false_positive_count,pass_marker,scope_metric_contract,run_status,error
bad_coverage,6,10,0.8146790957781631,0.6710082512860406,0.9113205172830381,0.7836077327626298,0.7742736168516564,0.8071066464855583,,,,1.0,0.8062862850928714,0.6139708234532139,0.9147863419328219,0,SCOPED_REVIEW,drift+tensor+psd,OK,
brusselator,7-limit-cycle,10,0.01260510832135413,0.009095797467729897,0.015181836603222327,0.06683401973843991,0.016405813073913426,0.30467218589638334,,,,1.0,0.015254417345803252,0.012184476378252197,0.020198172870874512,0,PASS,drift+tensor+psd,OK,
duffing,8-bistable,10,0.24006758312855747,0.14265090135688918,0.263985856991764,0.030953888832456054,0.0188123204732831,0.05078039665189153,,,,1.0,0.19861426724325448,0.14178883925625596,0.2547778636314743,0,PASS,drift+tensor+psd,OK,
fitzhugh_nagumo,7-limit-cycle,10,0.2052765678350064,0.13375200502712434,0.4466934855684267,0.04031433060326255,0.025951137750418643,0.09441330854522131,,,,1.0,0.6229830579385888,0.3547836736495009,1.140965220855088,0,PASS,drift+tensor+psd,OK,
gbm_2d,9-financial,10,2.4922660195102946,1.0812731566802527,3.4250515538976742,0.09641597916685561,0.05983950742544146,0.12470480062219473,0.9970399130951344,0.9728745367482514,0.9985230346309345,1.0,1.6357894800311987,0.783613770432745,2.282426906228021,0,SCOPED_REVIEW,drift+tensor+psd,OK,
maier_stein,8-bistable,10,0.23530059788024382,0.21397204615011198,0.3133172222285091,0.037908868709829194,0.034911966080529246,0.05925228281342993,,,,1.0,0.2293676377847109,0.21135925874368883,0.3001729933579642,0,PASS,drift+tensor+psd,OK,
mueller_brown,8-bistable,10,1.8260752737804282,1.2351207558994712,2.322465896363732,0.07453871065094383,0.042264632247304146,0.14879638151136806,,,,1.0,1.5291322750764542,1.1692787082671754,2.288554753397975,0,SCOPED_REVIEW,drift+tensor+psd,OK,
near_boundary_heston,6,10,1.4130442783829285,0.7921121512463202,1.9798875489988037,0.26680827071157953,0.08952977853696302,0.48783319265366976,0.9816768112005441,0.9414495690755598,0.9966457671223569,1.0,1.4864391292752566,0.6382304618489401,2.2552064978265425,0,SCOPED_REVIEW,drift+tensor+psd,OK,
near_singular,4,10,0.8700934147759143,0.2518623694721814,1.0906923319531157,1.5054945943077107,0.6000154628175857,183.49024541762793,0.7240000115904922,0.4994880016915182,0.9837173018303444,1.0,7.3013642604684765,0.9440729290327516,65.43960880943332,0,SCOPED_REVIEW,drift+tensor+psd,OK,
nonpoly_drift,6,10,0.20979373968555776,0.18933729177227065,0.3779641884979179,0.03742969132485974,0.02344803029759557,0.04761638738780684,,,,1.0,0.23633398843880188,0.19387349044022759,0.3209347456374469,0,PASS,drift+tensor+psd,OK,
sabr,9-financial,10,,,,0.19519601052159968,0.1006527136501476,0.5538935531358771,0.9896275586436265,0.7842367121047259,0.9969325524296644,1.0,1.1598735676181957,0.948822597250891,2.361112175619427,0,SCOPED_REVIEW,drift+tensor+psd,OK,
stuart_landau,7-limit-cycle,10,0.1255446409356633,0.10799706001661163,0.18955673499474585,0.018036399922623087,0.015873746743050744,0.027146913218264263,,,,1.0,0.14412288544600305,0.12963463220171853,0.2222590608823922,0,PASS,drift+tensor+psd,OK,
too_large_dt,6,10,0.09796341793160201,0.06255154497390158,0.13443745537004587,0.1193453602308176,0.09635802357272003,0.1490246070864167,,,,1.0,0.11758307536679177,0.06965486433661779,0.14365024825410305,0,PASS,drift+tensor+psd,OK,
two_factor_vasicek,9-financial,10,0.3499264350895786,0.32604161420822986,0.4472285467783051,1.0,1.0,1.0,,,,1.0,0.38678453710065125,0.3399988548345604,0.4989973574112942,0,SCOPED_REVIEW,drift+tensor+psd,OK,
underdamped_langevin,6,10,0.15667986002929996,0.1374105440092721,0.1840833103513521,0.5633894164079569,0.5530485463921415,0.6078217770534099,,,,1.0,0.22927823644413298,0.19396479102130024,0.25362836117449644,0,SCOPED_REVIEW,drift+tensor+psd,OK,
van_der_pol,7-limit-cycle,10,0.06609619190267611,0.03924160905341182,0.10266460101665223,0.03966824289993187,0.015735746451576115,0.1461046208597383,,,,1.0,0.05600375968363652,0.044261239025858365,0.07715667365244407,0,PASS,drift+tensor+psd,OK,
